id,name,harness,status,severity,defects,story,expected,edges,tests,lastTested,notes
studio-annotation-canvas,Studio annotation canvas (draw/edit regions),browser,waived,none,0,"As an annotator, I want to mark the exact regions that matter on an image, so that my observations are pinned to what I'm discussing.",Annotorious renders the PixiJS overlay; drawing a rect creates a region; editing moves/resizes it; selection opens the editor.,zoomed-out tiny region; overlapping regions; undo after delete,packages/render-mount/src/mount-guard.test.ts; packages/render-mount/src/fitbounds.test.ts,2026-06-21,"seed row — verify against fs-seam test backend in vite dev | GAP: apps/studio annotorious-draw e2e (no unit test for PixiJS overlay draw) | HUMAN-GATE Archie-79be: rendered-DOM/interaction, no e2e harness — data-logic covered by render-core, visual verdict deferred (not self-certified)"
viewer-notepopup,Viewer shared NotePopup (float-on-select + stepper),browser,waived,none,0,"As a reader, I want a note to surface when I select what it describes, so that I can read it in context.","One shared NotePopup.svelte; floats on selection, stepper only when collapsed, flip-and-read.",no note present; rapid selection switching; collapsed vs expanded,apps/viewer/src/note-arrival.test.ts,2026-06-21,"seed row — see project memory project_viewer_two_note_popups | GAP: NotePopup.svelte float/stepper component test | HUMAN-GATE Archie-79be: rendered-DOM/interaction, no e2e harness — data-logic covered by render-core, visual verdict deferred (not self-certified)"
publish-seo-emitter,Published pages emit og-tags/JSON-LD/sitemap,browser,pass,none,0,"As a publisher, I want my pages to preview and index well when shared, so that people can find and recognize my exhibit.",pageShell() injects OpenGraph + Twitter meta + schema.org JSON-LD; sitemap.xml emitted (Q-8).,exhibit with no description; unicode in title; multi-object exhibit,packages/render-core/src/publish/static-pages.test.ts; packages/render-core/src/publish/site.test.ts,2026-06-21,"seed row — assert on generated HTML, no network"
iiif-manifest-import,Import remote IIIF manifest by URL,network,pass,none,0,"As a curator, I want to bring in images from an institutional IIIF source, so that I can annotate collections I don't have to host.",iiif-import.ts fetches info.json + tiles; OpenSeadragon renders folios.,404 manifest; manifest with 0 canvases; slow/timeout host,apps/studio/src/iiif-import.test.ts; packages/render-core/src/iiif/manifest.test.ts; packages/render-core/src/iiif/canvasid.test.ts,2026-06-21,"seed row — use VENDORED fixture, not live Yale; timeout => flaky not fail"
desktop-native-file-open,Native file-open dialog (Tauri fs-seam),desktop,waived,none,0,"As a desktop user, I want to open local files through the system dialog, so that I can annotate images stored on my computer.",@tauri-apps/plugin-dialog opens native picker; fs-seam reads bytes.,cancel dialog; unsupported file type; large file,packages/render-core/src/fs/seam.test.ts; packages/render-core/src/fs/conformance.test.ts,,seed row — native shell only; waived + smoke in CI (tauri build). Logic tested via fs-seam test backend.
studio-note-crud,Studio note create/edit/delete,browser,pass,none,0,"As a curator, I want to capture, revise, and remove my observations, so that the exhibit always reflects my current thinking.",Region or whole-object note creation; form commits comment/tags; delete confirms; edits persist on close.,delete last note in a reading; very long / special-char text; toggle whole-object vs region scope,packages/render-core/src/note/media.test.ts; packages/render-core/src/spine/wholeobject.test.ts,2026-06-21,src apps/studio/src/NoteEditor.svelte + App.svelte
studio-readings-management,Studio readings create/rename/recolor/delete,browser,pass,none,0,"As a curator, I want competing interpretations kept as distinct layers, so that readers can weigh them against each other.",New reading mints stable id; color updates all marks; rename keeps notes attached; removing reading keeps notes under General.,duplicate reading names mint unique id; remove the active reading falls back to base; hide active reading,apps/studio/src/reading-state.svelte.test.ts; packages/render-core/src/query/reading.test.ts,2026-06-21,src ReadingsModal/ReadingsEditor/reading-state.svelte.ts
studio-reading-filter-toggle,Studio filter notes by reading visibility,browser,pass,none,0,"As a curator, I want to isolate or compare interpretations while I work, so that I can focus on one argument or contrast several.",Toggling hides/shows reading notes; comparing 2+ triggers outline-only render; base always visible.,hide active reading (pen stays); toggle while scrolling margin; all readings hidden except base,apps/studio/src/reading-state.svelte.test.ts; packages/render-core/src/query/filter.test.ts; packages/render-core/src/query/marker-style.test.ts,2026-06-21,src reading-state.svelte.ts + ReadingsRail.svelte
studio-note-cite-lookup,Studio citation picker (Cmd-K),browser,pass,none,0,"As a curator, I want to reference other notes and objects in my library, so that my argument stays connected to its evidence.",Cmd-K opens search/browse modal; picking inserts encoded archie: ref at cursor.,item with no thumbnail (AV label plate); cross-exhibit citation shows parent; multiple citations in one comment,packages/render-core/src/link/link.test.ts; packages/render-core/src/link/link-object.test.ts,2026-06-21,src CmdK.svelte + MediaPicker.svelte
studio-narrative-section-compose,Studio author narrative sections/beats,browser,pass,none,0,"As a curator, I want to give the exhibit a guided throughline, so that visitors can follow my argument in order.",Section targets an object with prose + optional framed region; persists across object switches.,adding first section flips front door + one-time cue; removing all sections reverse-cues; frame region then cancel does not capture,apps/studio/src/narrative-cue-reducer.test.ts; packages/render-core/src/spine/heads.test.ts,2026-06-21,src NarrativeEditor.svelte + App.svelte
studio-av-annotate,Studio annotate audio/video (temporal + spatiotemporal),browser,pass,none,0,"As a curator, I want to anchor observations to specific moments in audio and video, so that time-based evidence is as precise as image evidence.",Waveform for audio; in/out marking (I key); video frame box (B); Space toggles play; arrows nav notes; autosave.,in-point without out-point aborts; draw on paused vs playing video; waveform cache local vs remote,packages/render-core/src/av/time.test.ts; packages/render-core/src/av/transcript.test.ts; packages/render-core/src/geometry/mediafragment.test.ts,2026-06-21,src AvEditor.svelte
studio-map-annotation,Studio add/frame geo-annotations,browser,pass,none,0,"As a curator, I want to ground observations in real-world places, so that location becomes part of the evidence.","Modal picks provider, sets bounds (drag or type), zoom, name; emits tileSource descriptor.",bounds validation east>west north>south; per-provider maxZoom constraint; switch provider mid-edit keeps valid bounds,apps/studio/src/geo-notes.test.ts; packages/render-core/src/geometry/geo.test.ts; packages/render-core/src/iiif/manifest-geo.test.ts,2026-06-21,src AddMapModal.svelte; tile fetch is network but auth/bounds logic is browser
